minute_of_day,utc_timestamp,local_timestamp,utc_datetime,local_datetime,event_type,event_name,battery_level,temperature_c
775,1757768100.0,1757768100.0,2025-09-13 12:55:00 UTC,2025-09-13 07:55:00,system_event,boot,7,0
1015,1757782500.0,1757782500.0,2025-09-13 16:55:00 UTC,2025-09-13 11:55:00,system_event,boot,247,0
1322,1757800920.0,1757800920.0,2025-09-13 22:02:00 UTC,2025-09-13 17:02:00,system_event,boot,42,0
1374,1757804040.0,1757804040.0,2025-09-13 22:54:00 UTC,2025-09-13 17:54:00,system_event,boot,94,0
1414,1757806440.0,1757806440.0,2025-09-13 23:34:00 UTC,2025-09-13 18:34:00,system_event,boot,134,0
